H2O,CO2,NH3,HCO3-,H+,NH4+,CO32-,OH-,NH2COO-,CH4,Ar,Kr,Xe,pH
0.9999619820120561,0.025045072365521368,3.942994480028208e-07,0.006485166043011328,1.914357087129665e-08,0.00648646333433193,4.436767755640562e-07,7.362713125961697e-11,4.29007713212782e-07,0.0044105167676699855,3.7448421304166033e-06,3.7094975494516127e-06,4.47755839071386e-06,5.973601554733001
0.9999619884429602,0.025081286506685726,3.896681025942377e-07,0.006463859886967234,1.9232841411806306e-08,0.0064651405710843485,4.38742641458843e-07,7.320318981104443e-11,4.2235847241871464e-07,0.004412861425320943,3.7453641508495257e-06,3.7094500953344367e-06,4.507468582355187e-06,5.971581057392582
0.9999618917539227,0.025016969344984097,4.0427555382203984e-07,0.006544308243184125,1.8930090046601834e-08,0.006545645161316917,4.5572970401050385e-07,7.444118519716121e-11,4.443143736511408e-07,0.0044191065664466525,3.7461414150917968e-06,3.7096596031912837e-06,4.506743858834898e-06,5.978471786137129
0.9999619047837125,0.025056402184188902,3.986851388914342e-07,0.006518096966933356,1.903610875198221e-08,0.006519413490756727,4.4966698382681294e-07,7.394255174628555e-11,4.3615202193341413e-07,0.004421239024263684,3.7465879575185566e-06,3.7095915037187255e-06,4.505760866757448e-06,5.976046294387292
0.9999619140799835,0.0250965579848605,3.933512295750822e-07,0.006493389925192639,1.9138012215195992e-08,0.006494687171186953,4.439379364963274e-07,7.345972591664981e-11,4.284346738096226e-07,0.004427077230074222,3.758680717998914e-06,3.7292598493362094e-06,4.5045947684535604e-06,5.973727648210362
0.9999619256681298,0.025130052256750465,3.8868231204005024e-07,0.006470865474848196,1.9230848997653332e-08,0.006472145654429043,4.3883922818792864e-07,7.303471163533236e-11,4.216589387572131e-07,0.004428884442137452,3.759003183840865e-06,3.7291098321154287e-06,4.503598180643789e-06,5.971626022924006
0.9999619326640583,0.025165204283786033,3.841935028903774e-07,0.006449807395053021,1.9319171983470094e-08,0.006451071426731695,4.340272481117207e-07,7.262213255599183e-11,4.152237323015377e-07,0.004434558744038582,3.7595002958746124e-06,3.729043676797851e-06,4.502537469319981e-06,5.969635975036018
0.9999618322023504,0.02510460721022191,3.984459001974544e-07,0.0065302831182866,1.901576735220918e-08,0.00653160236544605,4.5076836825497345e-07,7.383551007658909e-11,4.366523547324836e-07,0.0044369634164950445,3.772049208402162e-06,3.7293847391825987e-06,4.501830643834989e-06,5.976510584701936
0.9999618459101836,0.025142882073586104,3.930161895965067e-07,0.0065043112932499925,1.9120916355121156e-08,0.006505610663374904,4.4484130617622105e-07,7.33492808469752e-11,4.2873507959552383e-07,0.004442437657320121,3.772467358807951e-06,3.7292972078294652e-06,4.5008469237127505e-06,5.974115744380402
0.99996185552939,0.025182115352770026,3.878365776291127e-07,0.0064799035099477485,1.9221804696617732e-08,0.006481184112873015,4.3924853896367114e-07,7.287817338282728e-11,4.212547738627412e-07,0.004447879165578806,3.772991079429354e-06,3.729223989522381e-06,4.530626822010054e-06,5.9718302899409546
0.9999618636485826,0.02521890160506529,3.830982879890364e-07,0.0064574676258588055,1.9315440062276277e-08,0.006458731112301035,4.341413002791483e-07,7.244350496913244e-11,4.144468382343868e-07,0.0044495326518740426,3.77350427327881e-06,3.729178800209796e-06,4.529597348139856e-06,5.969719846656836
0.9999617677070505,0.025155992557479884,3.972322620906756e-07,0.0065368397650336476,1.9015273025847746e-08,0.006538157922408811,4.5071528919360787e-07,7.365141438336278e-11,4.356684183752747e-07,0.0044552672958359935,3.7859290226934867e-06,3.7492342916744593e-06,4.5290258673323496e-06,5.97652184658511
0.9999617825084217,0.025195667665459394,3.915839563838665e-07,0.006509621885059629,1.9125144060226078e-08,0.006510919301241936,4.445233922424955e-07,7.314595648282523e-11,4.2742139592327346e-07,0.004460411314292325,3.786356532437236e-06,3.74914583978107e-06,4.528021293509522e-06,5.974019703347201
0.9999617927867306,0.02523637510378825,3.862131263030119e-07,0.006484148190828847,1.9230233553106144e-08,0.006485426097641109,4.387030448556663e-07,7.265740458424558e-11,4.196582987073683e-07,0.004461855310748998,3.7869032748914686e-06,3.7490948767756796e-06,4.526920954784253e-06,5.971639864153781
0.9999618021808462,0.025274163992596754,3.8129507138900144e-07,0.0064605742261852565,1.932818251730127e-08,0.006461834289981284,4.333700876292026e-07,7.220681579258312e-11,4.125795964630741e-07,0.004466940603089146,3.787413532664977e-06,3.749026885703274e-06,4.525834000652423e-06,5.9694334090222805
0.9999617072176685,0.02521249735340146,3.9514094765199e-07,0.0065388369784665,1.9032400661100275e-08,0.006540150716749085,4.4966079864989783e-07,7.339111132280394e-11,4.3337569482885523e-07,0.004472365333533091,3.7998560992634293e-06,3.7493375850165647e-06,4.525250318995467e-06,5.97613081412299
0.9999617227774371,0.025253179391871307,3.8935584242053554e-07,0.006510736966377364,1.9145706682075935e-08,0.006512029409262948,4.4329497131737777e-07,7.28729588225714e-11,4.2492577667389e-07,0.004477204394850266,3.8002930008170703e-06,3.7492498604776788e-06,4.524235243114197e-06,5.973552991460901
0.9999617337577408,0.025294811537217646,3.8386394135785474e-07,0.006484450394080404,1.9254002741826547e-08,0.006485722834557207,4.3731878397949363e-07,7.237295845523248e-11,4.169845386574098e-07,0.004478349792662998,3.800850167170191e-06,3.7689464466334643e-06,4.523124862492742e-06,5.97110336801322
0.9999617464490599,0.02532987394013714,3.790469760801978e-07,0.0064605908622790385,1.9351811397246633e-08,0.0064618456337478015,4.320181655738552e-07,7.19345553971326e-11,4.1001501445934097e-07,0.004483061446208348,3.801244410155487e-06,3.7688706447882576e-06,4.553067109037036e-06,5.968902780108723
0.9999616520701494,0.02526931598897923,3.9263935004573943e-07,0.006538008012049361,1.905921062879091e-08,0.006539315584329488,4.480646936614976e-07,7.30988696265934e-11,4.304290045573246e-07,0.004488204965555088,3.8137105507802045e-06,3.769184271344427e-06,4.552460277585851e-06,5.975519452265305
0.9999616653790426,0.025314473838930946,3.865487959457197e-07,0.006508796534418599,1.9178291889431865e-08,0.0065100818081370295,4.4140280281769953e-07,7.254859767547267e-11,4.215738561282473e-07,0.0044928496083320385,3.814289525715919e-06,3.769106940711485e-06,4.551227825407878e-06,5.972814443429955
0.9999616798506351,0.025352986308335178,3.8119742095634727e-07,0.006482323815671361,1.928600353930579e-08,0.006483589391020248,4.3549503464388844e-07,7.206424249147952e-11,4.137992188947966e-07,0.004497313953927639,3.814716274068746e-06,3.7690272172158034e-06,4.550252468826904e-06,5.970382131798968
0.9999616901996208,0.025392410312949164,3.7609873022515595e-07,0.006457455560841071,1.93892717729442e-08,0.006458702557593425,4.29926001908527e-07,7.159553342060927e-11,4.0646242475354757e-07,0.004501769075322568,3.8152522346830125e-06,3.7689630083052583e-06,4.549134204701837e-06,5.968062880373759
0.9999615963793257,0.025332541649167713,3.894683164785868e-07,0.0065342495382169265,1.9098650313557918e-08,0.0065355485600222165,4.4576047239316115e-07,7.27438556566191e-11,4.2652676694918455e-07,0.004506578239852533,3.827735603369808e-06,3.7692785642765976e-06,4.548522218788953e-06,5.974621660586018
0.9999616138117542,0.0253740441938564,3.835532687913432e-07,0.006504803540195948,1.921783583703791e-08,0.006506080618329789,4.3917346918502457e-07,7.220939689597049e-11,4.1787682191253876e-07,0.004510650646016085,3.8281118033910645e-06,3.7888470666738417e-06,4.547353638346402e-06,5.9719198660185615
0.9999616281349687,0.02541337924502388,3.781629668384005e-07,0.0064779938634455265,1.93272190628637e-08,0.006479251091097598,4.3321295831967313e-07,7.17197071881355e-11,4.1005723481060056e-07,0.004511119196640685,3.828565994256242e-06,3.788792621761862e-06,4.546410018436281e-06,5.969454982305538
0.9999616397828602,0.025452818533103303,3.7302319994075815e-07,0.006452468752296844,1.9433628778491876e-08,0.00645370713147636,4.275463586026476e-07,7.12437416454743e-11,4.0264884734278774e-07,0.00451517535456861,3.840626692760857e-06,3.7886355851639494e-06,4.545153018910499e-06,5.967070453950387
0.9999615462795763,0.025393638549603154,3.8618688546142503e-07,0.006528760607327118,1.9144425656696044e-08,0.006530050292011262,4.431857924693266e-07,7.237756839310876e-11,4.223851472943811e-07,0.004519751748960941,3.8415376596884005e-06,3.788955125790163e-06,4.575316366401125e-06,5.973581974107613
0.9999615627436195,0.025436199690411512,3.8026156914040124e-07,0.00649926947882233,1.926375513932092e-08,0.006500537252757215,4.366072540868588e-07,7.18425533171581e-11,4.1375133931673987e-07,0.004523755768689127,3.842011849924438e-06,3.788873642900848e-06,4.574255160165402e-06,5.9708833737476175
0.9999615775410448,0.025475809215943952,3.7485377410529814e-07,0.006472085551737959,1.9374759379080886e-08,0.006473333370844475,4.306049761350444e-07,7.134997019533521e-11,4.0591256360029875e-07,0.0045276766783308945,3.842466049427798e-06,3.7887990926931467e-06,4.5732493729820784e-06,5.968388011911476
0.9999614854772716,0.025419854304684165,3.875884559819014e-07,0.006546046570648375,1.9096327239507668e-08,0.006547344219845009,4.4579726731285603e-07,7.244097602539868e-11,4.250785482735958e-07,0.004532050552168084,3.8550159781847714e-06,3.7891161663090394e-06,4.572551085474121e-06,5.974674441263332
0.9999615034954268,0.025465124470360995,3.812400391231976e-07,0.006514425466277878,1.9223598787605418e-08,0.006515699571814569,4.3872780442603183e-07,7.186979636329717e-11,4.158016568356677e-07,0.004539533378148758,3.855513765002739e-06,3.8087582368372344e-06,4.571380510754061e-06,5.971789603526034
