H2O,CO2,NH3,HCO3-,H+,NH4+,CO32-,OH-,NH2COO-,CH4,Ar,Kr,Xe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.9958350333628995,0.0007368149867097854,0.003426661370402481,0.0,0.0,0.0,0.0,0.0,0.0,1.4843474867253738e-06,4.516669783361865e-09,6.497664934965114e-10,7.660049445740484e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9958749299735985,0.0007480136399427477,0.0033755273251446045,0.0,0.0,0.0,0.0,0.0,0.0,1.52303141397009e-06,4.603087721140534e-09,6.565570979340736e-10,7.701981601580924e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9958940697916652,0.0007590023130368887,0.0033453607769902967,0.0,0.0,0.0,0.0,0.0,0.0,1.5609899111589664e-06,4.688696968993773e-09,6.63930490903829e-10,7.757690531006782e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9959240800614684,0.0007705878849954656,0.0033037254082949013,0.0,0.0,0.0,0.0,0.0,0.0,1.6004169626635293e-06,4.776260977645554e-09,6.716597205985638e-10,7.803579774628219e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9959506824112737,0.0007819634345181145,0.003265708519884206,0.0,0.0,0.0,0.0,0.0,0.0,1.639306320026982e-06,4.862453026958079e-09,6.792132996124996e-10,7.863375943673543e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9959797915947376,0.0007924650972249729,0.003226060697863108,0.0,0.0,0.0,0.0,0.0,0.0,1.6761878735670541e-06,4.944892408664464e-09,6.860353272705742e-10,7.913729449206152e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9960026828481937,0.000802836732822331,0.003192761353196496,0.0,0.0,0.0,0.0,0.0,0.0,1.7125505185046294e-06,5.026345229854936e-09,6.926796472760001e-10,7.962440488637217e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9960228512237914,0.0008145003521768417,0.0031608894688330007,0.0,0.0,0.0,0.0,0.0,0.0,1.752338513566183e-06,5.1130634577627985e-09,7.010805360523882e-10,8.025411626181875e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9960471741926076,0.0008245592842129174,0.0031264717140145376,0.0,0.0,0.0,0.0,0.0,0.0,1.7881011169300018e-06,5.192752542828721e-09,7.081952137150361e-10,8.071003569926429e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9960703318892586,0.0008352579439091238,0.003092578218799003,0.0,0.0,0.0,0.0,0.0,0.0,1.8251458010230816e-06,5.274977038737725e-09,7.149484117748263e-10,8.123066886259045e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996090253261066,0.0008457869529139527,0.0030620907342024995,0.0,0.0,0.0,0.0,0.0,0.0,1.862156030904737e-06,5.356080086693665e-09,7.223370425478275e-10,8.173694049774324e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996109356204199,0.0008554200914315683,0.003033320022239951,0.0,0.0,0.0,0.0,0.0,0.0,1.8966971195692674e-06,5.432972174191345e-09,7.289966669455116e-10,8.23041016031189e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9961293838099509,0.0008664561752920039,0.003002217912203349,0.0,0.0,0.0,0.0,0.0,0.0,1.935020977556715e-06,5.51620561542985e-09,7.36708324528907e-10,8.286621967848174e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9961492749278436,0.0008758649231954012,0.002972883862525229,0.0,0.0,0.0,0.0,0.0,0.0,1.969116794991358e-06,5.591690989473422e-09,7.43879526406436e-10,8.340703352283411e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996168481518359,0.000885848072848443,0.002943658283732357,0.0,0.0,0.0,0.0,0.0,0.0,2.004865950663471e-06,5.6697333747482354e-09,7.507485001867742e-10,8.386277938978528e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9961878982889835,0.0008957898269437007,0.002914264264634993,0.0,0.0,0.0,0.0,0.0,0.0,2.040270155558659e-06,5.74718297277439e-09,7.57490762249362e-10,8.446085153722837e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962041855343278,0.0009055799054300476,0.002888151518080741,0.0,0.0,0.0,0.0,0.0,0.0,2.0756027151404943e-06,5.824071375152007e-09,7.648939165268233e-10,8.504810507271873e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962211526952519,0.0009152316418656188,0.0028614977245923255,0.0,0.0,0.0,0.0,0.0,0.0,2.11040942928348e-06,5.900425414542391e-09,7.72188366576525e-10,8.56247232080747e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962385436393213,0.0009248164839194423,0.002834487054727926,0.0,0.0,0.0,0.0,0.0,0.0,2.1452056487882687e-06,5.975881572798779e-09,7.785927883075134e-10,8.619082836407339e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962562600979002,0.0009342834512353813,0.002807268976822354,0.0,0.0,0.0,0.0,0.0,0.0,2.1797700673428313e-06,6.050845867189977e-09,7.856626587228577e-10,8.674662334020679e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962691857244418,0.0009444658263219559,0.002784124431325293,0.0,0.0,0.0,0.0,0.0,0.0,2.2162215778956983e-06,6.1292791069034735e-09,7.93271320547965e-10,8.737828085321595e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962856664189511,0.0009528510094118051,0.002759226855199253,0.0,0.0,0.0,0.0,0.0,0.0,2.2478396525101063e-06,6.199009182393591e-09,7.994955266892491e-10,8.782805331696251e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9962999798356382,0.0009628677649998286,0.0027348603894896406,0.0,0.0,0.0,0.0,0.0,0.0,2.284042281352238e-06,6.27626921546398e-09,8.06913442143334e-10,8.844083493032231e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99631581819396,0.0009718600867589746,0.0027099959178386607,0.0,0.0,0.0,0.0,0.0,0.0,2.3177495261445497e-06,6.348753567742556e-09,8.135869018438502e-10,8.895757159129196e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9963319372858611,0.0009808449123891497,0.002684858804736966,0.0,0.0,0.0,0.0,0.0,0.0,2.3508613655513055e-06,6.420838091138027e-09,8.201629228787384e-10,8.946461506584064e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
